rgn_name,rgn_id,year,habitat,health
Cocos Islands,1,2016,tidal flat,0
Christmas Island,2,2016,tidal flat,0
Norfolk Island,3,2016,tidal flat,0
Macquarie Island,4,2016,tidal flat,0
New Caledonia,5,2016,tidal flat,1
Vanuatu,6,2016,tidal flat,1
Solomon Islands,7,2016,tidal flat,0
Palau,8,2016,tidal flat,1
Micronesia,9,2016,tidal flat,0
Nauru,10,2016,tidal flat,0
Marshall Islands,11,2016,tidal flat,0
Wake Island,12,2016,tidal flat,0
Northern Mariana Islands and Guam,13,2016,tidal flat,0
Taiwan,14,2016,tidal flat,0.7163134140608249
Philippines,15,2016,tidal flat,0.6336502243012346
Australia,16,2016,tidal flat,0.9026865783751828
Papua New Guinea,17,2016,tidal flat,1
Fiji,18,2016,tidal flat,1
Tuvalu,19,2016,tidal flat,1
South Korea,20,2016,tidal flat,0.8121111650419365
North Korea,21,2016,tidal flat,1
Cambodia,24,2016,tidal flat,1
Thailand,25,2016,tidal flat,0.9387650147833134
Andaman and Nicobar,26,2016,tidal flat,1
Comoro Islands,28,2016,tidal flat,1
Mayotte,29,2016,tidal flat,0
Glorioso Islands,30,2016,tidal flat,0
Seychelles,31,2016,tidal flat,0
Reunion,32,2016,tidal flat,0
Juan de Nova Island,33,2016,tidal flat,0
Bassas da India,34,2016,tidal flat,0
Ile Europa,35,2016,tidal flat,0
Ile Tromelin,36,2016,tidal flat,0
Mauritius,37,2016,tidal flat,0
British Indian Ocean Territory,38,2016,tidal flat,0
Maldives,39,2016,tidal flat,0.5109464721767268
Sri Lanka,40,2016,tidal flat,0
Mozambique,41,2016,tidal flat,1
Madagascar,42,2016,tidal flat,1
Kenya,43,2016,tidal flat,1
Somalia,44,2016,tidal flat,1
Eritrea,45,2016,tidal flat,0.6243924549120532
Djibouti,46,2016,tidal flat,1
Yemen,47,2016,tidal flat,0.9656522404666286
Oman,48,2016,tidal flat,1
Sudan,49,2016,tidal flat,1
Saudi Arabia,50,2016,tidal flat,1
Kuwait,51,2016,tidal flat,0.5728113067275357
Bahrain,52,2016,tidal flat,0.9205101673290749
Pakistan,53,2016,tidal flat,1
United Arab Emirates,54,2016,tidal flat,1
Azores,55,2016,tidal flat,0
Cape Verde,56,2016,tidal flat,0
Madeira,57,2016,tidal flat,0
Canary Islands,58,2016,tidal flat,0.3406666044141842
Belgium,59,2016,tidal flat,0.8926304920230516
Gibraltar,60,2016,tidal flat,0
Tunisia,61,2016,tidal flat,1
Morocco,62,2016,tidal flat,0.3175845370371693
Western Sahara,63,2016,tidal flat,1
Mauritania,64,2016,tidal flat,1
Gambia,65,2016,tidal flat,0.9076014663001388
Senegal,66,2016,tidal flat,0.5993576119910727
Libya,67,2016,tidal flat,1
Malta,68,2016,tidal flat,0.008473750605960869
Latvia,69,2016,tidal flat,0.24593499350774073
Estonia,70,2016,tidal flat,0.45547898663313
Bulgaria,71,2016,tidal flat,0
Romania,72,2016,tidal flat,0
Russia,73,2016,tidal flat,1
Georgia,74,2016,tidal flat,0
Ukraine,75,2016,tidal flat,0
Turkey,76,2016,tidal flat,1
Syria,77,2016,tidal flat,0.026139261758739367
Lebanon,78,2016,tidal flat,0.045698725297510893
Israel,79,2016,tidal flat,0.7373563580418558
Greece,80,2016,tidal flat,0.42198777324450953
Cyprus,81,2016,tidal flat,1
Albania,82,2016,tidal flat,0.6355355020199746
Algeria,84,2016,tidal flat,0.5990271208751793
Ascension,85,2016,tidal flat,0
Saint Helena,86,2016,tidal flat,1
Tristan da Cunha,88,2016,tidal flat,0
South Georgia and the South Sandwich Islands,89,2016,tidal flat,0
Prince Edward Islands,90,2016,tidal flat,0
Crozet Islands,91,2016,tidal flat,0
Amsterdam Island and Saint Paul Island,92,2016,tidal flat,0
Kerguelen Islands,93,2016,tidal flat,0
Heard and McDonald Islands,94,2016,tidal flat,0
Falkland Islands,95,2016,tidal flat,0
Sierra Leone,96,2016,tidal flat,1
Liberia,97,2016,tidal flat,0.9886580781366785
Togo,98,2016,tidal flat,0.49530174510700564
Benin,99,2016,tidal flat,0.7361778310899002
Republique du Congo,100,2016,tidal flat,1
Namibia,101,2016,tidal flat,0.6063185258672706
South Africa,102,2016,tidal flat,0.7888002973625896
Sao Tome and Principe,103,2016,tidal flat,0
Equatorial Guinea,104,2016,tidal flat,0.2643060076358156
Bouvet Island,105,2016,tidal flat,0
Ghana,106,2016,tidal flat,0.8820152038167826
Clipperton Island,107,2016,tidal flat,0
Bermuda,108,2016,tidal flat,1
Bahamas,110,2016,tidal flat,0.4851759926282259
Turks and Caicos Islands,111,2016,tidal flat,0.3985252949853138
Cuba,112,2016,tidal flat,0.987933714353596
Cayman Islands,113,2016,tidal flat,1
Haiti,114,2016,tidal flat,0.28404272691603055
Dominican Republic,115,2016,tidal flat,0.17019741111724493
Puerto Rico and Virgin Islands of the United States,116,2016,tidal flat,0.16204820744951473
British Virgin Islands,117,2016,tidal flat,0.45986152185098444
Anguilla,118,2016,tidal flat,0
