iso3c,nutrient,country_application,reported_by_fao,year
ALA,N,NA,No,2010
ALA,N,NA,No,2011
ALA,N,NA,No,2012
ALA,N,NA,No,2013
ALA,N,NA,No,2014
ALA,N,NA,No,2015
ALA,N,NA,No,2016
ALA,N,NA,No,2017
ALA,N,NA,No,2018
ALA,N,NA,No,2019
ALA,P2O5,NA,No,2010
ALA,P2O5,NA,No,2011
ALA,P2O5,NA,No,2012
ALA,P2O5,NA,No,2013
ALA,P2O5,NA,No,2014
ALA,P2O5,NA,No,2015
ALA,P2O5,NA,No,2016
ALA,P2O5,NA,No,2017
ALA,P2O5,NA,No,2018
ALA,P2O5,NA,No,2019
ALA,K2O,NA,No,2010
ALA,K2O,NA,No,2011
ALA,K2O,NA,No,2012
ALA,K2O,NA,No,2013
ALA,K2O,NA,No,2014
ALA,K2O,NA,No,2015
ALA,K2O,NA,No,2016
ALA,K2O,NA,No,2017
ALA,K2O,NA,No,2018
ALA,K2O,NA,No,2019
ASM,N,NA,No,2010
ASM,N,NA,No,2011
ASM,N,NA,No,2012
ASM,N,NA,No,2013
ASM,N,NA,No,2014
ASM,N,NA,No,2015
ASM,N,NA,No,2016
ASM,N,NA,No,2017
ASM,N,NA,No,2018
ASM,N,NA,No,2019
ASM,P2O5,NA,No,2010
ASM,P2O5,NA,No,2011
ASM,P2O5,NA,No,2012
ASM,P2O5,NA,No,2013
ASM,P2O5,NA,No,2014
ASM,P2O5,NA,No,2015
ASM,P2O5,NA,No,2016
ASM,P2O5,NA,No,2017
ASM,P2O5,NA,No,2018
ASM,P2O5,NA,No,2019
ASM,K2O,NA,No,2010
ASM,K2O,NA,No,2011
ASM,K2O,NA,No,2012
ASM,K2O,NA,No,2013
ASM,K2O,NA,No,2014
ASM,K2O,NA,No,2015
ASM,K2O,NA,No,2016
ASM,K2O,NA,No,2017
ASM,K2O,NA,No,2018
ASM,K2O,NA,No,2019
AND,N,NA,No,2010
AND,N,NA,No,2011
AND,N,NA,No,2012
AND,N,NA,No,2013
AND,N,NA,No,2014
AND,N,NA,No,2015
AND,N,NA,No,2016
AND,N,NA,No,2017
AND,N,NA,No,2018
AND,N,NA,No,2019
AND,P2O5,NA,No,2010
AND,P2O5,NA,No,2011
AND,P2O5,NA,No,2012
AND,P2O5,NA,No,2013
AND,P2O5,NA,No,2014
AND,P2O5,NA,No,2015
AND,P2O5,NA,No,2016
AND,P2O5,NA,No,2017
AND,P2O5,NA,No,2018
AND,P2O5,NA,No,2019
AND,K2O,NA,No,2010
AND,K2O,NA,No,2011
AND,K2O,NA,No,2012
AND,K2O,NA,No,2013
AND,K2O,NA,No,2014
AND,K2O,NA,No,2015
AND,K2O,NA,No,2016
AND,K2O,NA,No,2017
AND,K2O,NA,No,2018
AND,K2O,NA,No,2019
AIA,N,NA,No,2010
AIA,N,NA,No,2011
AIA,N,NA,No,2012
AIA,N,NA,No,2013
AIA,N,NA,No,2014
AIA,N,NA,No,2015
AIA,N,NA,No,2016
AIA,N,NA,No,2017
AIA,N,NA,No,2018
AIA,N,NA,No,2019
AIA,P2O5,NA,No,2010
AIA,P2O5,NA,No,2011
AIA,P2O5,NA,No,2012
AIA,P2O5,NA,No,2013
AIA,P2O5,NA,No,2014
AIA,P2O5,NA,No,2015
AIA,P2O5,NA,No,2016
AIA,P2O5,NA,No,2017
AIA,P2O5,NA,No,2018
AIA,P2O5,NA,No,2019
AIA,K2O,NA,No,2010
AIA,K2O,NA,No,2011
AIA,K2O,NA,No,2012
AIA,K2O,NA,No,2013
AIA,K2O,NA,No,2014
AIA,K2O,NA,No,2015
AIA,K2O,NA,No,2016
AIA,K2O,NA,No,2017
AIA,K2O,NA,No,2018
AIA,K2O,NA,No,2019
ABW,N,NA,No,2010
ABW,N,NA,No,2011
ABW,N,NA,No,2012
ABW,N,NA,No,2013
ABW,N,NA,No,2014
ABW,N,NA,No,2015
ABW,N,NA,No,2016
ABW,N,NA,No,2017
ABW,N,NA,No,2018
ABW,N,NA,No,2019
ABW,P2O5,NA,No,2010
ABW,P2O5,NA,No,2011
ABW,P2O5,NA,No,2012
ABW,P2O5,NA,No,2013
ABW,P2O5,NA,No,2014
ABW,P2O5,NA,No,2015
ABW,P2O5,NA,No,2016
ABW,P2O5,NA,No,2017
ABW,P2O5,NA,No,2018
ABW,P2O5,NA,No,2019
ABW,K2O,NA,No,2010
ABW,K2O,NA,No,2011
ABW,K2O,NA,No,2012
ABW,K2O,NA,No,2013
ABW,K2O,NA,No,2014
ABW,K2O,NA,No,2015
ABW,K2O,NA,No,2016
ABW,K2O,NA,No,2017
ABW,K2O,NA,No,2018
ABW,K2O,NA,No,2019
BES,N,NA,No,2010
BES,N,NA,No,2011
BES,N,NA,No,2012
BES,N,NA,No,2013
BES,N,NA,No,2014
BES,N,NA,No,2015
BES,N,NA,No,2016
BES,N,NA,No,2017
BES,N,NA,No,2018
BES,N,NA,No,2019
BES,P2O5,NA,No,2010
BES,P2O5,NA,No,2011
BES,P2O5,NA,No,2012
BES,P2O5,NA,No,2013
BES,P2O5,NA,No,2014
BES,P2O5,NA,No,2015
BES,P2O5,NA,No,2016
BES,P2O5,NA,No,2017
BES,P2O5,NA,No,2018
BES,P2O5,NA,No,2019
BES,K2O,NA,No,2010
BES,K2O,NA,No,2011
BES,K2O,NA,No,2012
BES,K2O,NA,No,2013
BES,K2O,NA,No,2014
BES,K2O,NA,No,2015
BES,K2O,NA,No,2016
BES,K2O,NA,No,2017
BES,K2O,NA,No,2018
BES,K2O,NA,No,2019
IOT,N,NA,No,2010
IOT,N,NA,No,2011
IOT,N,NA,No,2012
IOT,N,NA,No,2013
IOT,N,NA,No,2014
IOT,N,NA,No,2015
IOT,N,NA,No,2016
IOT,N,NA,No,2017
IOT,N,NA,No,2018
IOT,N,NA,No,2019
IOT,P2O5,NA,No,2010
IOT,P2O5,NA,No,2011
IOT,P2O5,NA,No,2012
IOT,P2O5,NA,No,2013
IOT,P2O5,NA,No,2014
IOT,P2O5,NA,No,2015
IOT,P2O5,NA,No,2016
IOT,P2O5,NA,No,2017
IOT,P2O5,NA,No,2018
IOT,P2O5,NA,No,2019
IOT,K2O,NA,No,2010
IOT,K2O,NA,No,2011
IOT,K2O,NA,No,2012
IOT,K2O,NA,No,2013
IOT,K2O,NA,No,2014
IOT,K2O,NA,No,2015
IOT,K2O,NA,No,2016
IOT,K2O,NA,No,2017
IOT,K2O,NA,No,2018
IOT,K2O,NA,No,2019
VGB,N,NA,No,2010
VGB,N,NA,No,2011
VGB,N,NA,No,2012
VGB,N,NA,No,2013
VGB,N,NA,No,2014
VGB,N,NA,No,2015
VGB,N,NA,No,2016
VGB,N,NA,No,2017
VGB,N,NA,No,2018
VGB,N,NA,No,2019
VGB,P2O5,NA,No,2010
VGB,P2O5,NA,No,2011
VGB,P2O5,NA,No,2012
VGB,P2O5,NA,No,2013
VGB,P2O5,NA,No,2014
VGB,P2O5,NA,No,2015
VGB,P2O5,NA,No,2016
VGB,P2O5,NA,No,2017
VGB,P2O5,NA,No,2018
VGB,P2O5,NA,No,2019
VGB,K2O,NA,No,2010
VGB,K2O,NA,No,2011
VGB,K2O,NA,No,2012
VGB,K2O,NA,No,2013
VGB,K2O,NA,No,2014
VGB,K2O,NA,No,2015
VGB,K2O,NA,No,2016
VGB,K2O,NA,No,2017
VGB,K2O,NA,No,2018
VGB,K2O,NA,No,2019
CPV,N,NA,No,2010
CPV,N,NA,No,2011
CPV,N,NA,No,2012
CPV,N,NA,No,2013
CPV,N,NA,No,2014
CPV,N,NA,No,2015
CPV,N,NA,No,2016
CPV,N,NA,No,2017
CPV,N,NA,No,2018
CPV,N,NA,No,2019
CPV,P2O5,NA,No,2010
CPV,P2O5,NA,No,2011
CPV,P2O5,NA,No,2012
CPV,P2O5,NA,No,2013
CPV,P2O5,NA,No,2014
CPV,P2O5,NA,No,2015
CPV,P2O5,NA,No,2016
CPV,P2O5,NA,No,2017
CPV,P2O5,NA,No,2018
CPV,P2O5,NA,No,2019
CPV,K2O,NA,No,2010
CPV,K2O,NA,No,2011
CPV,K2O,NA,No,2012
CPV,K2O,NA,No,2013
CPV,K2O,NA,No,2014
CPV,K2O,NA,No,2015
CPV,K2O,NA,No,2016
CPV,K2O,NA,No,2017
CPV,K2O,NA,No,2018
CPV,K2O,NA,No,2019
CYM,N,NA,No,2010
CYM,N,NA,No,2011
CYM,N,NA,No,2012
CYM,N,NA,No,2013
CYM,N,NA,No,2014
CYM,N,NA,No,2015
CYM,N,NA,No,2016
CYM,N,NA,No,2017
CYM,N,NA,No,2018
CYM,N,NA,No,2019
CYM,P2O5,NA,No,2010
CYM,P2O5,NA,No,2011
CYM,P2O5,NA,No,2012
CYM,P2O5,NA,No,2013
CYM,P2O5,NA,No,2014
CYM,P2O5,NA,No,2015
CYM,P2O5,NA,No,2016
CYM,P2O5,NA,No,2017
CYM,P2O5,NA,No,2018
CYM,P2O5,NA,No,2019
CYM,K2O,NA,No,2010
CYM,K2O,NA,No,2011
CYM,K2O,NA,No,2012
CYM,K2O,NA,No,2013
CYM,K2O,NA,No,2014
CYM,K2O,NA,No,2015
CYM,K2O,NA,No,2016
CYM,K2O,NA,No,2017
CYM,K2O,NA,No,2018
CYM,K2O,NA,No,2019
TCD,N,NA,No,2010
TCD,N,NA,No,2011
TCD,N,NA,No,2012
TCD,N,NA,No,2013
TCD,N,NA,No,2014
TCD,N,NA,No,2015
TCD,N,NA,No,2016
TCD,N,NA,No,2017
TCD,N,NA,No,2018
TCD,N,NA,No,2019
TCD,P2O5,NA,No,2010
TCD,P2O5,NA,No,2011
TCD,P2O5,NA,No,2012
TCD,P2O5,NA,No,2013
TCD,P2O5,NA,No,2014
TCD,P2O5,NA,No,2015
TCD,P2O5,NA,No,2016
TCD,P2O5,NA,No,2017
TCD,P2O5,NA,No,2018
TCD,P2O5,NA,No,2019
TCD,K2O,NA,No,2010
TCD,K2O,NA,No,2011
TCD,K2O,NA,No,2012
TCD,K2O,NA,No,2013
TCD,K2O,NA,No,2014
TCD,K2O,NA,No,2015
TCD,K2O,NA,No,2016
TCD,K2O,NA,No,2017
TCD,K2O,NA,No,2018
TCD,K2O,NA,No,2019
CXR,N,NA,No,2010
CXR,N,NA,No,2011
CXR,N,NA,No,2012
CXR,N,NA,No,2013
CXR,N,NA,No,2014
CXR,N,NA,No,2015
CXR,N,NA,No,2016
CXR,N,NA,No,2017
CXR,N,NA,No,2018
CXR,N,NA,No,2019
CXR,P2O5,NA,No,2010
CXR,P2O5,NA,No,2011
CXR,P2O5,NA,No,2012
CXR,P2O5,NA,No,2013
CXR,P2O5,NA,No,2014
CXR,P2O5,NA,No,2015
CXR,P2O5,NA,No,2016
CXR,P2O5,NA,No,2017
CXR,P2O5,NA,No,2018
CXR,P2O5,NA,No,2019
CXR,K2O,NA,No,2010
CXR,K2O,NA,No,2011
CXR,K2O,NA,No,2012
CXR,K2O,NA,No,2013
CXR,K2O,NA,No,2014
CXR,K2O,NA,No,2015
CXR,K2O,NA,No,2016
CXR,K2O,NA,No,2017
CXR,K2O,NA,No,2018
